Address,Latitude,Longitude
"77 PLACE DE LA LIBERTE, 73260 GRAND AIGUEBLANCHE",45.5011,6.5161
"21 RUE ARSENE D'ARSONVAL, 01000 BOURG EN BRESSE",46.2051,5.2251
"AVENUE DU MOLE, 74130 AYSE",46.0821,6.4351
"5 AVENUE ALPHONSE MUSCAT, 01000 BOURG EN BRESSE",46.2052,5.2252
"2 AVENUE DE VERDUN, 74100 ANNEMASSE",46.1951,6.2361
"35 RUE LAMARTINE, 38320 EYBENS",45.1581,5.7501
"9 PLACE SALVADOR ALLENDE, 38800 LE PONT DE CLAIX",45.1381,5.7001
"5324 AVENUE DU LAC, 74140 DOUVAINE",46.3001,6.3001
"6046 AVENUE DU BAS CHABLAIS, 74140 DOUVAINE",46.3002,6.3002
"RUE DE LA POSTE, 73210 AIME LA PLAGNE",45.5501,6.6501
"195 RUE CESAR FERRAFIAT, 38220 VIZILLE",45.0761,5.7721
"69 AVENUE DE LA REPUBLIQUE, 38170 SEYSSINET PARISET",45.1781,5.6881
"10 PLACE DU 11 NOVEMBRE 1918, 73200 ALBERTVILLE",45.6741,6.3931
"4 RUE ANDRE CHARLES BOULE, 01000 BOURG EN BRESSE",46.2053,5.2253
"738 RUE COMMANDANT DUBOIS, 73200 ALBERTVILLE",45.6742,6.3932
"95 ROUTE DE MONTELIER, 26000 VALENCE",44.9331,4.8921
"5831 CHEMIN DU MOULIN / 54 ROUTE DES ANGONNES, 38320 BRIE ET ANGONNES",45.1121,5.7821
"8 AVENUE ANTOINE LOUARAZ, 38580 ALLEVARD",45.3931,6.0741
"3 IMPASSE GUSTAVE EIFFEL, 74000 ANNECY",45.9001,6.1161
"13 RUE DU CAPITAINE BOZAMBO, 26100 ROMANS SUR ISERE",45.0461,5.0561
"CHEMIN DEPARTEMENTAL N 115, 38350 LA MURE D ISERE",44.9031,5.7841
"2 ROUTE LEVERT, 07100 ANNONAY",45.2411,4.6671
"250 ROUTE DE CHAMP FARCON, 74370 ARGONAY",45.9451,6.1361
"370 RUE JEAN MARIE VIANNEY, 01480 ARS SUR FORMANS",45.9931,4.8231
"6 RUE DES PLANTEES, 38760 VARCES ALLIERES ET RISSET",45.0841,5.6841
"31 RUE CONDAMNALE, 01380 BAGE LE CHATEL",46.3071,4.9281
"8 RUE PIERRE MENDES FRANCE / 89 AVENUE JEAN JAURES, 38320 EYBENS",45.1582,5.7502
"5504 LE VILLAGE, 07630 LE BEAGE",44.8381,4.1201
"5186 ROUTE DE BEAUFORT, 73270 BEAUFORT SUR DORON",45.7171,6.5741
